id,calories,proteins,fat,carbohydrate,name,image,harga,bahan_dasar,protein_per_100cal
38,120.0,1.1,0.2,26.8,Pisang ayam segar,https://assets.tokko.io/0feaf09b-2761-465e-98df-a8ae8e3d0837/products/images/9239a74b-b3ba-43b0-8368-88ae7940ff5e,12600,ayam,0.9166666666666666
39,193.0,22.6,7.9,7.8,Rendang sapi masakan,https://asset.kompas.com/crops/HDe5rLDP0dEOLb6MC_UPvRTwFg8=/0x141:500x474/750x500/data/photo/2021/05/11/609a08809259f.jpg,32584,sapi,11.709844559585493
40,212.0,18.0,10.6,59.3,Sapi abon,https://cdn0-production-images-kly.akamaized.net/fqIGhZT1Z1Zu36S_0_xZCoJSI5A=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/3980335/original/086906600_1648695608-Abon_Sapi_Premium.jpg,32340,sapi,8.49056603773585
41,108.0,17.6,4.2,0.0,Sapi babat segar,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/3/10/5802bb88-dd3a-42b8-9d4e-f03f46fcf8a3.jpg,27522,sapi,16.296296296296298
42,182.0,32.0,6.0,0.0,Sapi daging asap,https://asset.kompas.com/crops/FMBgpWLQutfbdsgz0ZytI8a9JKo=/0x542:1080x1262/750x500/data/photo/2022/03/22/6239b98488b17.jpg,23860,sapi,17.582417582417584
43,301.0,55.0,9.0,0.0,Sapi daging dendeng mentah,https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/04/27/9731/664xauto-cara-membuat-dendeng-sapi-yang-dijemur-kering-basah-kelapa-balado-dan-manis-200427a.jpg,22284,sapi,18.272425249169437
44,273.0,17.5,22.0,0.0,Sapi daging gemuk segar,https://cdn1-production-images-kly.akamaized.net/lA6qLu1irMjT2OPAYtqnW-nvIfQ=/640x360/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/3133148/original/027517900_1589942784-Raw_Fresh_Meat_With_Rosemary.jpg,21205,sapi,6.41025641025641
45,289.0,16.0,25.0,0.0,Sapi daging kornet,https://s4.bukalapak.com/attachment/418432/pengertian_kornet_main_image.jpg,17551,sapi,5.536332179930796
46,174.0,19.6,10.0,0.0,Sapi daging kurus segar,https://cdn1-production-images-kly.akamaized.net/lA6qLu1irMjT2OPAYtqnW-nvIfQ=/640x360/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/3133148/original/027517900_1589942784-Raw_Fresh_Meat_With_Rosemary.jpg,27921,sapi,11.264367816091955
47,201.0,18.8,14.0,0.0,Sapi daging lemak sedang segar,https://images.tokopedia.net/img/cache/700/VqbcmM/2020/10/10/3e7ebf5d-cc63-4354-ac94-e96ce7057653.png,28371,sapi,9.35323383084577
48,448.0,14.5,42.3,2.3,Sapi daging sosis (Worst),https://images.tokopedia.net/img/cache/700/product-1/2020/7/3/1982472/1982472_d7e37ee9-0836-4eb7-9d26-fe0b1f602bd3_300_300,17248,sapi,3.2366071428571432
49,183.0,12.0,14.4,1.4,Sapi daleman segar,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2022/05/12/manfaat-jeroan-sapijpg-20220512025232.jpg,20094,sapi,6.557377049180328
50,98.0,21.9,1.1,0.0,Sapi dideh/darah,https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/09/29/23311/664xauto-banyak-digemari-kuliner-asal-indonesia-ini-ternyata-terbuat-dari-darah-hewan-200929c.jpg,28622,sapi,22.346938775510203
51,137.0,15.0,8.1,0.9,Sapi ginjal segar,https://i0.wp.com/herald.id/wp-content/uploads/2023/01/google.jpg?fit=521%2C405&ssl=1,18407,sapi,10.948905109489052
52,274.0,16.0,22.0,3.0,Sapi hati sosis (liverworst),https://img.herstory.co.id/articles/archive_20220708/sosis-daging-sapi-20220708-145317.jpg,20571,sapi,5.839416058394161
53,84.0,10.5,4.6,0.2,Sapi keleponan segar,https://asset.kompas.com/crops/T3UEAUZcyLPz2Kf7uAajNqm1DV0=/0x0:999x666/780x390/data/photo/2020/07/27/5f1e7ad5324dc.jpg,32113,sapi,12.5
54,132.0,19.7,3.2,6.0,Sapi liver segar,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/3/10/964e4fd5-7470-4799-a02f-1e8af6a83177.jpg,24872,sapi,14.924242424242424
55,123.0,10.4,8.6,0.8,Sapi otak segar,https://asset.kompas.com/crops/Zb2CWR9vmVrUUr6v372o4SJ8gs0=/0x0:1000x667/750x500/data/photo/2021/07/18/60f3913f44be3.jpg,24977,sapi,8.455284552845528
56,360.0,57.3,6.0,19.2,Sapi paru dendeng mentah,https://img-global.cpcdn.com/recipes/e709be83be77515c/680x482cq70/dendeng-paru-kering-foto-resep-utama.jpg,31112,sapi,15.916666666666664
57,268.0,23.9,12.7,14.5,Sapi paru goreng,https://awsimages.detik.net.id/community/media/visual/2022/07/14/resep-paru-goreng-ketumbar_43.jpeg?w=1200,15715,sapi,8.917910447761193
58,126.0,14.0,7.2,1.5,Sapi usus segar,https://images.tokopedia.net/img/cache/700/product-1/2020/6/14/8589094/8589094_bca7552d-86d6-4c95-899c-4915c124c74f_480_480.jpg,17352,sapi,11.11111111111111
59,49.0,5.8,0.5,5.3,Sop daging sapi masakan,https://img.okezone.com/content/2020/02/27/298/2175054/resep-sayur-sop-daging-masakan-rumahan-paling-populer-24WHr0ACJo.jpg,23203,sapi,11.83673469387755
60,68.0,9.0,1.9,3.7,Sop kaki sapi masakan,https://www.ruparupa.com/blog/wp-content/uploads/2021/06/Screen-Shot-2021-06-21-at-14.11.27.png,24571,sapi,13.23529411764706
61,61.0,3.2,3.5,4.3,Susu Sapi,https://awsimages.detik.net.id/community/media/visual/2022/01/16/ciri-ciri-susu-sapi-segar-sudah-basi-1.jpeg?w=1200,33377,sapi,5.245901639344262
62,328.0,12.6,19.9,24.6,Tahu telur,https://resepkoki.id/wp-content/uploads/2021/09/Resep-Tahu-Telur.jpg,8206,telur,3.841463414634146
63,162.0,12.8,11.5,0.7,Telur Ayam,https://asset.kompas.com/crops/WYVtX9H9wYlXZDwLmMqHiw2ZJc4=/0x7:740x500/750x500/data/photo/2020/11/13/5fae4aae98da3.jpg,12381,ayam,7.901234567901234
64,361.0,19.3,31.9,0.7,Telur Ayam bagian kuning,https://assets.hops.id/crop/0x0:0x0/750x500/webp/photo/hops/2020/08/different-egg-yolk-colors.jpg,17127,ayam,5.346260387811634
65,50.0,10.8,0.0,0.8,Telur Ayam bagian putih,https://res.cloudinary.com/dk0z4ums3/image/upload/v1539314113/attached_image/beragam-khasiat-putih-telur-yang-bisa-didapatkan-tubuh.jpg,12559,ayam,21.6
66,383.0,15.1,32.9,8.3,Telur Ayam ceplok,https://asset.kompas.com/crops/iCoT-Kr0xhu1V1MGOEhihIfgbYk=/0x0:498x332/750x500/data/photo/2020/02/07/5e3d3ae57251e.jpg,11506,ayam,3.9425587467362924
67,251.0,16.3,19.4,1.4,Telur Ayam dadar,https://awsimages.detik.net.id/community/media/visual/2022/05/07/resep-telur-dadar-ayam_43.jpeg?w=700&q=90,16715,ayam,6.494023904382471
68,179.0,13.6,13.3,4.4,Telur ayam kampung ,https://asset.kompas.com/crops/2pq3Gh9tB33koJG0i3C9Bd65utQ=/0x0:1000x667/750x500/data/photo/2020/07/11/5f0970bc01fd5.jpg,11026,ayam,7.597765363128492
69,386.0,17.0,35.0,0.8,Telur bebek bagian kuning segar,https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2020/09/24/2217151674.jpg,11320,telur,4.404145077720207
70,54.0,11.0,0.0,0.8,Telur Bebek bagian putih,https://m.ftscrt.com/food/d6ddfb94-7dad-4739-a886-7aa119947f16_lg_sq.jpg,16485,telur,20.37037037037037
71,54.0,11.0,0.0,0.8,Telur bebek bagian putih segar,https://images.genpi.co/uploads/data/images/2021/landy%20cantik/telur%20bebek%20freepik.jpg,14607,telur,20.37037037037037
72,320.0,15.1,30.5,0.9,Telur Bebek ceplok,https://statik.tempo.co/data/2020/06/02/id_942491/942491_720.jpg,11820,telur,4.71875
73,301.0,20.0,23.7,0.0,Telur Bebek dadar,https://cdn0-production-images-kly.akamaized.net/1WivGEoDIspEllYaxZHrpqkjEYQ=/1200x675/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2468104/original/014966900_1543254943-resep-dadar-telur-bebek-sayur-enak-dan-tidak-amis.jpg,18859,telur,6.64451827242525
74,187.0,10.9,12.4,7.9,Telur bebek tambak segar,https://www.jagel.id/api/listimage/v/Telur-Bebek-Tambak-0-9195c7316763f2dc.jpg,18406,telur,5.828877005347594
75,195.0,13.6,13.6,1.4,Telur Bebek telur asin,https://asset.kompas.com/crops/2pq3Gh9tB33koJG0i3C9Bd65utQ=/0x0:1000x667/750x500/data/photo/2020/07/11/5f0970bc01fd5.jpg,11935,telur,6.9743589743589745
76,116.0,10.7,7.0,1.6,Telur burung puyuh segar,https://img.celebrities.id/okz/700/5Mzp26/master_j6A38lc90K_1541_telur_burung_puyuh.jpg,10480,telur,9.224137931034482
77,144.0,12.0,10.2,0.0,Telur Penyu,https://awsimages.detik.net.id/community/media/visual/2020/07/02/telur-penyu-4.jpeg?w=700&q=90,13000,telur,8.333333333333332
78,425.0,31.0,28.0,10.0,Telur Terubuk,https://lovepeaceveggiefood.files.wordpress.com/2020/09/screenshot_2020-09-18-19-57-07-39.jpg,6194,telur,7.294117647058823
79,130.0,14.0,7.2,1.5,Usus Sapi,https://awsimages.detik.net.id/community/media/visual/2020/07/24/usus-sapi.jpeg?w=724,27269,sapi,10.76923076923077
